"행정구역별","산업별",2024.1/2,2024.1/2,2024.2/2,2024.2/2
"행정구역별","산업별",취업자 (천명),RSE,취업자 (천명),RSE
"서울 종로구","계",73,-,73,-
"서울 종로구","농업, 임업 및 어업 (A)",-,-,-,-
"서울 종로구","광·제조업(B,C)",6,-,6,-
"서울 종로구","건설업 (F) ",3,-,4,-
"서울 종로구","도소매·숙박음식업(G,I)",18,-,16,-
"서울 종로구","전기·운수·통신·금융(D,H,J,K)",12,-,12,-
"서울 종로구","사업·개인·공공서비스 및 기타(E,L~U)",34,-,35,-
"서울 중구","계",72,-,73,-
"서울 중구","농업, 임업 및 어업 (A)",-,-,-,-
"서울 중구","광·제조업(B,C)",8,-,7,-
"서울 중구","건설업 (F) ",4,-,4,-
"서울 중구","도소매·숙박음식업(G,I)",23,-,24,-
"서울 중구","전기·운수·통신·금융(D,H,J,K)",12,-,11,-
"서울 중구","사업·개인·공공서비스 및 기타(E,L~U)",25,-,27,-
"서울 용산구","계",116,-,113,-
"서울 용산구","농업, 임업 및 어업 (A)",-,-,-,-
"서울 용산구","광·제조업(B,C)",9,-,11,-
"서울 용산구","건설업 (F) ",5,-,4,-
"서울 용산구","도소매·숙박음식업(G,I)",27,-,27,-
"서울 용산구","전기·운수·통신·금융(D,H,J,K)",25,-,22,-
"서울 용산구","사업·개인·공공서비스 및 기타(E,L~U)",50,-,50,-
"서울 성동구","계",147,-,150,-
"서울 성동구","농업, 임업 및 어업 (A)",-,-,-,-
"서울 성동구","광·제조업(B,C)",14,-,16,-
"서울 성동구","건설업 (F) ",8,-,7,-
"서울 성동구","도소매·숙박음식업(G,I)",34,-,34,-
"서울 성동구","전기·운수·통신·금융(D,H,J,K)",27,-,27,-
"서울 성동구","사업·개인·공공서비스 및 기타(E,L~U)",64,-,67,-
"서울 광진구","계",194,-,191,-
"서울 광진구","농업, 임업 및 어업 (A)",0,*,0,*
"서울 광진구","광·제조업(B,C)",13,-,13,-
"서울 광진구","건설업 (F) ",12,-,10,-
"서울 광진구","도소매·숙박음식업(G,I)",56,-,53,-
"서울 광진구","전기·운수·통신·금융(D,H,J,K)",31,-,34,-
"서울 광진구","사업·개인·공공서비스 및 기타(E,L~U)",82,-,80,-
"서울 동대문구","계",176,-,177,-
"서울 동대문구","농업, 임업 및 어업 (A)",-,-,-,-
"서울 동대문구","광·제조업(B,C)",15,-,15,-
"서울 동대문구","건설업 (F) ",13,-,13,-
"서울 동대문구","도소매·숙박음식업(G,I)",49,-,48,-
"서울 동대문구","전기·운수·통신·금융(D,H,J,K)",26,-,28,-
"서울 동대문구","사업·개인·공공서비스 및 기타(E,L~U)",74,-,73,-
"서울 중랑구","계",210,-,205,-
"서울 중랑구","농업, 임업 및 어업 (A)",-,-,0,*
"서울 중랑구","광·제조업(B,C)",29,-,24,-
"서울 중랑구","건설업 (F) ",20,-,17,-
"서울 중랑구","도소매·숙박음식업(G,I)",45,-,45,-
"서울 중랑구","전기·운수·통신·금융(D,H,J,K)",37,-,37,-
"서울 중랑구","사업·개인·공공서비스 및 기타(E,L~U)",79,-,81,-
"서울 성북구","계",218,-,212,-
"서울 성북구","농업, 임업 및 어업 (A)",-,-,-,-
"서울 성북구","광·제조업(B,C)",21,-,15,-
"서울 성북구","건설업 (F) ",13,-,15,-
"서울 성북구","도소매·숙박음식업(G,I)",53,-,49,-
"서울 성북구","전기·운수·통신·금융(D,H,J,K)",33,-,30,-
"서울 성북구","사업·개인·공공서비스 및 기타(E,L~U)",98,-,104,-
"서울 강북구","계",141,-,141,-
"서울 강북구","농업, 임업 및 어업 (A)",-,-,-,-
"서울 강북구","광·제조업(B,C)",10,-,9,-
"서울 강북구","건설업 (F) ",9,-,9,-
"서울 강북구","도소매·숙박음식업(G,I)",37,-,37,-
"서울 강북구","전기·운수·통신·금융(D,H,J,K)",26,-,24,-
"서울 강북구","사업·개인·공공서비스 및 기타(E,L~U)",60,-,63,-
"서울 도봉구","계",156,-,155,-
