직업군,2017_전체,2017_13-18세,2017_19-24세,2020_전체,2020_13-18세,2020_19-24세,2023_전체,2023_13-18세,2023_19-24세
관리자,0.9,,0.9,0.2,2.5,0.1,0.2,,0.2
전문가 및 관련 종사자,6.9,,7.5,3.3,,3.5,4.0,1.0,4.2
사무 종사자,21.4,9.7,22.4,16.0,3.2,16.7,11.9,6.1,12.2
서비스 종사자,44.7,53.6,44.0,47.4,55.7,46.9,51.2,63.5,50.5
판매 종사자,18.1,27.6,17.3,26.3,22.2,26.6,24.0,24.9,24.0
농림어업 숙련 종사자,,,,0.3,,0.3,0.2,,0.2
기능원 및 관련 기능 종사자,2.6,0.6,2.8,1.8,1.5,1.8,3.5,1.2,3.7
장치･기계 조작 및 조립 종사자,1.5,1.2,1.5,0.4,,0.5,1.1,,1.2
단순노무 종사자,3.3,7.3,3.0,4.1,14.8,3.4,3.2,3.3,3.2
직업군인,0.7,,0.7,0.2,,0.2,0.6,,0.6
